MTS25	Tensile Strength
3.7661	455.3261
3.7704	455.3232
3.7755	455.58
3.7794	455.2789
3.7848	455.6179
3.7898	455.6413
3.7935	455.1836
3.7975	455.1187
3.8027	455.546
3.8076	455.6361
3.8119	455.3734
3.8165	455.5469
3.8214	455.6107
3.8257	455.4376
3.8316	455.9255
3.8355	455.5198
3.8393	455.2129
3.8441	455.4433
3.8495	455.7209
3.8536	455.5612
3.8579	455.5434
3.8633	455.7015
3.8675	455.562
3.8725	455.7154
3.8776	455.7521
3.8814	455.3834
3.8856	455.3539
3.8905	455.6527
3.8956	455.7288
3.8996	455.5764
3.9044	455.65
3.9092	455.6897
3.9135	455.6195
3.9192	456.0388
3.9233	455.6505
3.927	455.3578
3.9318	455.5995
3.9371	455.8439
3.9414	455.6763
3.9457	455.6516
3.9509	455.8011
3.955	455.6728
3.9599	455.7863
3.9653	455.9672
3.969	455.5761
3.973	455.494
3.978	455.7421
3.9831	455.89
3.987	455.6816
3.9918	455.7297
3.997	455.9444
4.0013	455.7384
4.0066	456.1993
4.0108	455.7295
4.0146	455.5864
4.0193	455.6898
4.0246	456.1559
4.0291	455.7819
4.0334	455.7225
4.0385	456.0314
4.043	455.8029
4.0479	455.9461
4.0528	456.1512
4.0566	455.6935
4.0607	455.649
4.0658	455.9907
4.0709	456.1776
4.075	455.7457
4.0796	455.8383
4.0849	456.1979
4.0893	455.9131
4.0945	456.3952
4.0989	456.0069
4.1027	455.6895
4.1072	455.7552
4.1124	456.2
4.117	455.9948
4.1211	455.8298
4.1264	456.292
4.1309	456.1336
4.1358	456.227
4.1408	456.489
4.1446	455.8277
4.1487	455.7134
4.1534	456.0544
4.1589	456.5124
4.1628	455.9165
4.1677	456.1323
4.173	456.5868
4.1773	456.2283
4.1822	456.56
4.1866	456.2198
4.1906	455.7854
4.195	455.8788
4.2003	456.4077
4.2048	456.2935
4.2093	456.0646
4.2141	456.4025
4.2186	456.2882
4.2232	456.3019
4.2288	457.0007
4.2324	456.0527
4.2364	455.8752
4.2414	456.2992
4.2466	456.7378
4.2507	456.1699
4.2552	456.2521
4.2604	456.8298
4.2647	456.4955
4.2699	456.9535
4.2744	456.5735
4.278	456.0094
4.2826	456.0679
4.2877	456.7104
4.2923	456.6398
4.2968	456.4015
4.3013	456.6495
4.3063	456.7955
4.3109	456.7154
4.3165	457.326
4.3201	456.3694
4.3244	456.1765
4.3293	456.5617
4.3343	456.9888
4.3386	456.5917
4.3428	456.4313
4.3483	457.1093
4.3524	456.7399
4.3576	457.2484
4.3625	456.9674
4.3662	456.3168
4.3707	456.4022
4.3758	456.9216
4.3808	456.9951
4.3846	456.6196
4.3894	456.7374
4.3945	457.0703
