MTS25	Tensile Strength
4.4918	388.0487
4.4973	388.8509
4.5015	388.372
4.5049	387.7782
4.5092	388.0012
4.5143	388.553
4.5187	388.5054
4.5226	388.3492
4.5274	388.5005
4.5319	388.6203
4.5364	388.8108
4.542	389.5039
4.545	388.4604
4.549	388.358
4.5538	388.6033
4.5588	389.2616
4.5627	388.5903
4.5669	388.6036
4.572	389.455
4.5759	388.8725
4.5815	389.6595
4.5856	389.3937
4.5891	388.5854
4.5933	388.6673
4.5983	389.5539
4.6028	389.529
4.6067	389.2661
4.6113	389.5068
4.616	389.5933
4.6204	389.6505
4.6257	389.8188
4.6291	389.3901
4.6331	389.0861
4.6376	389.5189
4.6426	389.7814
4.6465	389.5797
4.6505	389.5935
4.6557	389.8235
4.6597	389.6865
4.6649	389.8869
4.6692	389.8412
4.6728	389.6167
4.6771	389.6396
4.682	389.862
4.6866	389.8616
4.6904	389.773
4.6953	389.8754
4.6996	389.8569
4.7039	389.8771
4.7095	390.0874
4.7129	389.83
4.7168	389.7341
4.7215	389.8799
4.7265	389.9969
4.7307	389.8983
4.735	389.9058
4.7399	390.0102
4.7438	389.8975
4.7491	390.1198
4.7536	390.0608
4.7572	389.8737
4.7614	389.9005
4.7665	390.0723
4.771	390.0757
4.7749	389.9516
4.7795	390.0486
4.7838	390.0587
4.7881	390.0151
4.7937	390.5877
4.7974	390.0349
4.8011	389.9272
4.8057	390.0504
4.8108	390.3178
4.8147	390.1028
4.8189	390.1155
4.824	390.4466
4.8276	390.132
4.8331	390.6518
4.8376	390.6384
4.841	390.0775
4.8453	390.0999
4.8503	390.5154
4.855	390.7115
4.8588	390.3569
4.8635	390.6356
4.8682	390.6722
4.8723	390.498
4.8781	391.1855
4.8814	390.5485
4.8852	390.2076
4.8897	390.6069
4.8948	390.9977
4.8989	390.7384
4.9032	390.7227
4.9083	391.029
4.9121	390.7652
4.9169	390.9843
4.9219	391.2295
4.9254	390.6927
4.9293	390.7
4.934	390.9592
4.939	391.3434
4.9427	390.8555
4.9472	391.0673
4.952	391.4088
4.9561	391.1144
4.9616	391.9808
4.9654	391.2055
4.969	390.8426
4.9736	391.1118
4.9786	391.7881
4.983	391.4748
4.9868	391.3046
4.9921	392.0062
4.9961	391.6532
5.0009	391.9455
5.0055	392.0508
5.009	391.3401
5.0132	391.3091
5.0179	391.9125
5.0231	392.1343
5.0267	391.7562
5.031	391.8588
5.0362	392.1788
5.0402	392.0817
5.0455	392.5701
5.0494	392.0144
5.053	391.668
5.0575	391.9849
5.0625	392.375
5.0666	392.0856
5.0703	391.9671
5.0755	392.4698
5.0801	392.4279
5.0849	392.9277
5.0896	392.7993
5.093	392.076
5.0969	392.0192
5.1018	392.4826
5.1068	392.9777
5.1105	392.2649
5.1146	392.2715
5.1197	393.0467
5.1242	392.9989
5.1296	393.3916
5.1332	392.8067
5.1369	392.2918
5.1411	392.4662
5.1464	393.1639
5.1507	393.0027
5.1547	392.9239
5.1593	393.0548
5.1639	393.107
5.1687	393.3052
5.1734	393.4217
5.1769	392.9711
5.1809	392.9399
5.1857	393.1292
5.1907	393.4702
5.1945	393.1062
5.1988	393.1272
5.2041	393.5282
5.2083	393.4421
5.2136	393.7168
5.2174	393.3661
5.221	393.0498
5.2255	393.1881
5.2303	393.5201
5.2347	393.5356
5.239	393.4557
5.2437	393.5855
5.2482	393.5589
5.2526	393.6421
5.258	394.0807
5.2615	393.4636
5.2654	393.4088
5.2702	393.5674
5.2751	393.959
5.2789	393.5703
5.2832	393.5804
5.2885	394.1053
5.2923	393.6595
5.2976	394.2964
5.3019	393.9673
5.3055	393.5437
5.3098	393.6494
5.3145	393.9903
5.3192	394.1027
5.3232	393.804
5.3279	394.1751
5.3324	394.1922
5.337	394.2615
5.3423	394.5509
5.3456	393.9405
5.3493	393.7592
5.3543	394.214
5.3592	394.4738
5.3632	394.2485
5.3674	394.2252
5.3728	394.5917
5.3764	394.3139
5.382	394.7798
5.3862	394.4828
5.3895	394.1028
5.3939	394.2392
5.3988	394.5591
5.4032	394.5222
5.4073	394.3786
5.4117	394.5005
5.4165	394.5696
5.4211	394.6616
5.4264	394.9524
5.4297	394.4855
5.4337	394.3925
5.4381	394.5615
5.4432	394.8206
5.4472	394.5982
5.4513	394.5988
5.4566	394.8991
5.4605	394.7552
5.4659	395.2821
5.4701	394.8678
5.4735	394.5615
5.4776	394.5776
5.4828	394.9516
5.4873	394.9275
5.4913	394.8042
5.4958	394.9091
5.5005	395.0123
5.5051	395.1288
5.5103	395.582
5.5137	394.8422
5.5176	394.7687
5.5222	394.9301
5.5273	395.513
5.5313	395.0072
5.5356	395.011
5.5407	395.5616
5.5445	395.139
5.5498	395.649
5.5541	395.5463
5.5575	394.9324
5.5617	394.9756
5.5667	395.6032
