MTS25	Tensile stress
3.5793	387.0291
3.5838	387.1576
3.5887	387.6181
3.5925	387.0264
3.5982	388.1066
3.6025	387.5942
3.606	386.916
3.6107	387.1302
3.6157	387.9383
3.6204	387.8549
3.6245	387.519
3.6294	388.0157
3.6336	387.7662
3.6383	387.8872
3.6437	388.235
3.6475	387.5844
3.6516	387.308
3.6564	387.9813
3.6618	388.2029
3.6656	387.9536
3.6701	388.0225
3.6752	388.2298
3.6794	388.0952
3.6845	388.2788
3.6893	388.1913
3.6928	387.8283
3.6973	388.019
3.7024	388.2363
3.7071	388.2315
3.711	388.1066
3.716	388.2656
3.7205	388.2227
3.7252	388.2601
3.7305	388.3652
3.7342	388.1382
3.7381	388.0244
3.743	388.248
3.7484	388.3693
3.752	388.2219
3.7563	388.2131
3.7616	388.374
3.7658	388.3102
3.771	388.3999
3.7757	388.3624
3.7795	388.2106
3.7839	388.2664
3.7889	388.3743
3.7934	388.361
3.7971	388.2758
3.8019	388.357
3.8069	388.4156
3.8117	388.4673
3.8168	388.5331
3.8205	388.3341
3.8243	388.2561
3.8293	388.3752
3.8345	388.5067
3.8382	388.369
3.8425	388.3568
3.8479	388.541
3.852	388.4543
3.8578	388.8051
3.8617	388.4724
3.8656	388.3564
3.8698	388.3624
3.8747	388.5327
3.8794	388.5641
3.8836	388.4263
3.8878	388.436
3.8931	388.5785
3.8974	388.564
3.9027	388.8125
3.9064	388.4934
3.9104	388.4045
3.915	388.501
3.9203	388.8805
3.9241	388.5383
3.928	388.4845
3.9336	388.8911
3.9375	388.6389
3.943	389.1523
3.9473	388.8057
3.9511	388.4937
3.9553	388.5325
3.9601	388.7398
3.965	389.0682
3.9691	388.672
3.9735	388.7299
3.9783	389.0589
3.9826	388.9203
3.9881	389.4478
3.9919	388.8329
3.9958	388.6149
4.0005	388.826
4.0055	389.3199
4.0098	389.0653
4.0142	388.9417
4.0193	389.3556
4.0232	389.1211
4.0285	389.4564
4.0333	389.4281
4.0369	388.8899
4.041	388.9114
4.0458	389.2921
4.0508	389.442
4.0546	389.1879
4.0593	389.2769
4.0642	389.5789
4.0688	389.3723
4.0743	390.1947
4.0777	389.2586
4.0816	389.0252
4.0863	389.2704
4.0912	389.7445
4.0954	389.4135
4.0995	389.3099
4.1047	389.9324
4.109	389.4477
4.114	390.1948
4.119	390.1901
4.1224	389.3252
4.1267	389.323
4.1317	389.8607
4.1367	390.2304
4.1408	389.639
4.1453	389.7593
4.1504	390.2718
4.1545	389.9596
4.1602	390.688
4.1639	390.0033
4.1676	389.4969
4.1723	389.7996
4.1775	390.3922
4.1819	390.0831
4.1862	389.9437
4.1911	390.4275
4.1955	390.2328
4.2005	390.5482
4.2055	390.6279
4.2089	389.9149
4.2128	389.7602
4.2179	390.3716
4.2229	390.5948
4.2269	390.315
4.2314	390.3196
4.2366	390.5961
4.2405	390.4346
4.2464	391.2861
4.2501	390.4288
4.2537	390.0765
4.2582	390.2718
4.2638	390.973
4.2678	390.5285
4.2722	390.4745
4.277	390.8073
4.2812	390.5496
4.2863	391.154
4.2914	391.3917
